Airframe,Flight ID,Flight Date,Campaign Year,Perf Score,Sensor Samples,Test Crew,Thrust Margin,Payload Fraction
Falcon-X1,Falcon-X1-F01,2021-04-16,2021,4.42,116,Falcon-X1 + Chase-3,-1.951,0.883
Falcon-X1,Falcon-X1-F02,2021-05-10,2021,5.05,102,Falcon-X1 + Chase-2,0.879,0.849
Falcon-X1,Falcon-X1-F03,2021-05-30,2021,4.27,156,Falcon-X1 + Chase-2,-0.959,0.779
Falcon-X1,Falcon-X1-F04,2021-07-15,2021,4.72,113,Falcon-X1,-0.155,0.745
Condor-7,Condor-7-F01,2021-04-28,2021,6.54,176,Condor-7,-0.406,0.428
Condor-7,Condor-7-F02,2021-05-09,2021,7.0,42,Condor-7,-0.84,0.359
Condor-7,Condor-7-F03,2021-07-20,2021,6.74,198,Condor-7,0.543,0.783
Condor-7,Condor-7-F04,2021-07-08,2021,7.02,148,Condor-7 + Chase-3,0.224,0.34
Raptor-M2,Raptor-M2-F01,2021-04-20,2021,5.24,128,Raptor-M2,-0.275,0.28
Raptor-M2,Raptor-M2-F02,2021-04-30,2021,5.43,170,Raptor-M2,0.163,0.588
Raptor-M2,Raptor-M2-F03,2021-06-11,2021,4.81,100,Raptor-M2,0.858,0.486
Raptor-M2,Raptor-M2-F04,2021-08-30,2021,4.62,219,Raptor-M2 + Chase-1,0.142,0.663
Raptor-M2,Raptor-M2-F05,2021-09-15,2021,4.83,171,Raptor-M2,0.457,0.317
Albatross-3,Albatross-3-F01,2021-04-13,2021,6.81,58,Albatross-3,0.481,0.687
Albatross-3,Albatross-3-F02,2021-05-13,2021,5.55,200,Albatross-3 + Chase-2,-1.687,0.261
Albatross-3,Albatross-3-F03,2021-06-21,2021,6.81,64,Albatross-3,1.299,0.745
Albatross-3,Albatross-3-F04,2021-06-12,2021,5.39,28,Albatross-3,-0.339,0.519
Albatross-3,Albatross-3-F05,2021-09-01,2021,5.49,45,Albatross-3,-1.446,0.731
Albatross-3,Albatross-3-F06,2021-08-05,2021,6.38,131,Albatross-3,-0.239,0.259
Kestrel-V,Kestrel-V-F01,2021-04-05,2021,6.29,29,Kestrel-V,-1.189,0.319
Kestrel-V,Kestrel-V-F02,2021-05-09,2021,5.92,21,Kestrel-V + Chase-2,-0.222,0.871
Kestrel-V,Kestrel-V-F03,2021-05-05,2021,7.38,179,Kestrel-V,2.914,0.856
Kestrel-V,Kestrel-V-F04,2021-06-12,2021,6.69,197,Kestrel-V + Chase-1,-0.415,0.507
Harrier-9,Harrier-9-F01,2021-03-04,2021,4.48,150,Harrier-9,-0.054,0.709
Harrier-9,Harrier-9-F02,2021-04-25,2021,4.94,105,Harrier-9 + Chase-1,-0.965,0.588
Harrier-9,Harrier-9-F03,2021-05-27,2021,4.46,218,Harrier-9,0.932,0.404
Harrier-9,Harrier-9-F04,2021-07-18,2021,3.66,166,Harrier-9 + Chase-1,-0.455,0.505
Harrier-9,Harrier-9-F05,2021-06-01,2021,4.56,197,Harrier-9,0.286,0.421
Harrier-9,Harrier-9-F06,2021-10-06,2021,4.65,28,Harrier-9,1.536,0.384
Osprey-T4,Osprey-T4-F01,2021-03-05,2021,8.52,46,Osprey-T4,1.461,0.812
Osprey-T4,Osprey-T4-F02,2021-03-23,2021,8.07,214,Osprey-T4,-0.005,0.301
Osprey-T4,Osprey-T4-F03,2021-03-27,2021,6.88,151,Osprey-T4,-2.05,0.554
Osprey-T4,Osprey-T4-F04,2021-07-09,2021,7.82,178,Osprey-T4,0.916,0.717
Swift-E2,Swift-E2-F01,2021-05-01,2021,5.35,113,Swift-E2 + Chase-2,0.538,0.869
Swift-E2,Swift-E2-F02,2021-05-18,2021,5.7,9,Swift-E2,0.177,0.274
Swift-E2,Swift-E2-F03,2021-08-18,2021,4.99,11,Swift-E2 + Chase-3,-0.853,0.763
Swift-E2,Swift-E2-F04,2021-07-25,2021,6.07,183,Swift-E2,-0.654,0.363
Swift-E2,Swift-E2-F05,2021-07-27,2021,5.69,87,Swift-E2,1.124,0.656
Swift-E2,Swift-E2-F06,2021-09-11,2021,7.36,58,Swift-E2,-1.097,0.772
